backdoor,ddos,dos,injection,mitm,normal,password,ransomware,scanning,xss
0.00018987902,2.1441129e-07,NaN,2.3297964e-06,NaN,0.99975854,4.2852436e-05,4.0615764e-09,5.985139e-06,8.2922604e-08
3.926841e-05,1.016298e-07,NaN,9.90698e-07,NaN,0.99994826,9.5944815e-06,1.4977101e-09,1.8015312e-06,4.9350955e-08
7.269993e-06,6.926709e-08,NaN,5.471867e-07,NaN,0.9999889,2.4600884e-06,6.177941e-10,6.510087e-07,3.645159e-08
1.479339e-06,7.3998194e-08,NaN,4.0326637e-07,NaN,0.9999968,8.764099e-07,3.1616737e-10,3.1258693e-07,3.262194e-08
3.0729657e-07,1.5741584e-07,NaN,5.1953737e-07,NaN,0.99999833,4.0228673e-07,1.06572855e-10,1.7369544e-07,1.562519e-07
1.4425619e-07,4.1584093e-07,NaN,8.524962e-07,NaN,0.99999774,4.0128182e-07,7.989184e-11,1.7803075e-07,2.9987083e-07
1.2010312e-07,1.1559741e-06,NaN,1.674447e-06,NaN,0.9999956,5.3713353e-07,7.352823e-11,2.3783866e-07,5.8340396e-07
1.1950105e-07,2.362485e-06,NaN,2.820248e-06,NaN,0.9999931,6.737661e-07,8.2978485e-11,3.0397246e-07,6.3311325e-07
1.7042282e-07,5.6207955e-06,NaN,6.0750604e-06,NaN,0.9999852,1.0987851e-06,8.3362366e-11,4.833841e-07,1.3297636e-06
2.319076e-07,1.0045312e-05,NaN,9.675483e-06,NaN,0.9999763,1.5826741e-06,9.219602e-11,6.685353e-07,1.5898552e-06
2.7006197e-07,1.24355165e-05,NaN,9.796046e-06,NaN,0.99997365,2.188661e-06,1.3695768e-10,1.0439372e-06,5.8116495e-07
5.5956116e-07,1.0639838e-05,NaN,6.909972e-06,NaN,0.99996996,6.3294488e-06,1.1726826e-09,5.3375043e-06,2.6179998e-07
6.954759e-07,7.2391354e-06,NaN,4.8467587e-06,NaN,0.9999716,6.7469723e-06,4.586733e-09,8.480769e-06,3.4029128e-07
1.8600869e-06,1.6302733e-05,NaN,1.0983638e-05,NaN,0.99990726,2.7762524e-05,1.0729238e-08,3.478586e-05,1.0899643e-06
2.6826744e-06,1.3123673e-05,NaN,1.183927e-05,NaN,0.999895,3.1880358e-05,2.106354e-08,4.382555e-05,1.6399109e-06
5.020484e-06,1.7516943e-05,NaN,1.3091125e-05,NaN,0.9998399,5.1329207e-05,1.2991138e-08,7.123086e-05,1.8603696e-06
1.7756056e-05,5.3081472e-05,NaN,4.6631852e-05,NaN,0.99903035,0.00037571997,1.2012401e-07,0.0004686272,7.711721e-06
6.7510955e-05,0.00020315392,NaN,0.0001695517,NaN,0.9927322,0.0029737253,1.5524979e-06,0.003806613,4.5715897e-05
0.0006624927,0.0012446564,NaN,0.0006963699,NaN,0.8797507,0.04253653,0.00046959848,0.07407688,0.0005627114
0.0013379718,0.0028828017,NaN,0.0015791235,NaN,0.487791,0.20174897,0.0016142782,0.299419,0.0036269205
0.0016204139,0.0026524372,NaN,0.0010632469,NaN,0.10624966,0.39721844,0.0031777427,0.48037434,0.0076437495
0.0016777747,0.0013879602,NaN,0.00076387357,NaN,0.027904054,0.47518685,0.0029088715,0.482876,0.0072945617
0.0014231612,0.00058324845,NaN,0.00038431125,NaN,0.005917461,0.5410414,0.0011132043,0.44424382,0.005293487
0.0015063088,0.00039696565,NaN,0.0003375094,NaN,0.0024481532,0.56236935,0.0014005309,0.4248395,0.006701655
0.0017217486,0.00028415854,NaN,0.00026751973,NaN,0.0016100414,0.5977821,0.00088305445,0.3886053,0.008846053
0.0015946166,0.0003000622,NaN,0.00016366631,NaN,0.0015568648,0.64296275,0.0006087753,0.34173718,0.011075975
0.0013852374,0.000334304,NaN,0.00020290278,NaN,0.0015702283,0.64552426,0.00052742806,0.33994928,0.0105064055
0.0012513405,0.00036226885,NaN,0.0002560142,NaN,0.0016277275,0.65605086,0.0004373712,0.32862583,0.011388652
0.0011819266,0.00039629717,NaN,0.00030047834,NaN,0.0014839602,0.64907193,0.00031099046,0.341718,0.005536499
0.0010546835,0.0004872742,NaN,0.0002815225,NaN,0.0010456662,0.6633254,0.00015795416,0.3319711,0.0016763156
