dev_backdoor,dev_ddos,dev_dos,dev_injection,dev_mitm,dev_normal,dev_password,dev_ransomware,dev_scanning,dev_xss,lin_backdoor,lin_ddos,lin_dos,lin_injection,lin_mitm,lin_normal,lin_password,lin_ransomware,lin_scanning,lin_xss,net_backdoor,net_ddos,net_dos,net_injection,net_mitm,net_normal,net_password,net_ransomware,net_scanning,net_xss,predicted,proba_backdoor,proba_ddos,proba_dos,proba_injection,proba_mitm,proba_normal,proba_password,proba_ransomware,proba_scanning,proba_xss
0.0013378225,1.3350315e-07,,2.4337243e-05,,0.9982249,0.00037089648,5.624648e-08,4.1669748e-05,1.0595855e-07,,0.6847347,0.0005362259,0.00042195036,0.00058805733,0.16895239,0.14364502,,0.0009852251,0.00013644209,0.00069561764,4.8701254e-06,0.0008288037,0.0027115576,0.9894252,7.7328965e-05,6.771452e-05,8.276386e-06,0.0001925319,0.0059880354,mitm,7.527290603859748e-05,0.00281324609503283,0.0014955880843569782,0.00013857994749932466,0.9902997900896883,0.004692420551676455,0.00018722438463144748,2.4740657085765573e-05,0.0002333019981553209,3.983528583512305e-05
0.00036509323,8.123812e-08,,1.3459242e-05,,0.99952006,8.814073e-05,1.7907427e-08,1.3071171e-05,7.874004e-08,,0.6849157,0.00053578534,0.00042137495,0.00058748847,0.16885906,0.1435588,,0.0009852581,0.00013648858,0.00201033,8.623329e-06,0.0016598492,0.0067327,0.97347236,9.696668e-05,0.00010615008,9.755555e-06,0.00049018604,0.015413142,mitm,7.737442903524851e-05,0.0027745673010471173,0.0015484413660683165,0.00014514641651742493,0.9902188434201922,0.004735197575424146,0.00019090633775940626,2.5832046882881623e-05,0.00024154996037094252,4.214114670235443e-05
9.569844e-05,6.1805494e-08,,8.125651e-06,,0.9998685,2.3039736e-05,6.457371e-09,4.3352265e-06,6.0575864e-08,,0.68511665,0.00053530914,0.00042074878,0.00058686663,0.16875547,0.14346306,,0.0009853151,0.00013653877,0.0021921853,1.1546056e-05,0.002108035,0.0073337997,0.96610916,0.0001359364,0.00013101418,1.3611587e-05,0.0004589961,0.021505771,mitm,7.85070376955194e-05,0.002743766611556217,0.0015854287736225795,0.00014728827028200563,0.9901825457451673,0.004754619908468184,0.00019120611726732763,2.641925847668776e-05,0.0002466882544008713,4.3530023063210655e-05
2.549237e-05,6.140762e-08,,5.5274795e-06,,0.99995995,7.2923913e-06,2.6448175e-09,1.6689479e-06,4.478501e-08,,0.6853359,0.0005348027,0.00042007738,0.00058619736,0.16864254,0.14335854,,0.0009853982,0.00013659248,0.00056588557,7.023893e-06,0.0011749327,0.0019509663,0.98937654,9.28758e-05,9.574324e-05,1.8742498e-05,0.00011343321,0.006603773,mitm,7.467686611570872e-05,0.0027834323596697794,0.0015071479260565664,0.000137072222922696,0.990354029764711,0.004662423920539691,0.00018466329573300146,2.454355355478768e-05,0.00023252252497829243,3.948756571833314e-05
5.5243704e-06,9.599288e-08,,5.509244e-06,,0.9999857,2.4411477e-06,5.399434e-10,6.417094e-07,1.0817294e-07,,0.6855721,0.0005342681,0.00041936385,0.00058548467,0.16852084,0.14324582,,0.0009855089,0.00013664922,0.00012362466,7.2619177e-06,0.0009315626,0.00061073096,0.9962154,1.36845565e-05,8.6948894e-05,5.421827e-05,2.7620297e-05,0.0019289341,mitm,7.349148435390844e-05,0.002795057915406546,0.0014819301858821309,0.00013427203745906886,0.990415301209654,0.00462680581604618,0.00018272757535917994,2.4007824765099253e-05,0.00022813502350378504,3.827092757041019e-05
1.8689906e-06,2.041349e-07,,7.258047e-06,,0.99998856,1.5431507e-06,2.2909025e-10,4.106136e-07,1.552445e-07,,0.68582356,0.00053370994,0.00041861384,0.00058473443,0.16839157,0.14312547,,0.0009856481,0.00013670912,0.00010332245,6.913933e-06,0.0010352465,0.0006130706,0.9955604,1.0727142e-05,0.00010349553,5.2531926e-05,6.7360015e-05,0.002446921,mitm,7.357909512745803e-05,0.002790533429981549,0.0014851952147546435,0.0001343589889000356,0.9904214465932057,0.004621390763211748,0.00018249485355221508,2.4059153866504774e-05,0.00022861982555651071,3.83220818437496e-05
1.1518092e-06,5.7187947e-07,,1.2520592e-05,,0.99998343,1.599025e-06,1.4080238e-10,4.266139e-07,2.6577422e-07,,0.6860884,0.00053313223,0.00041783263,0.0005839522,0.16825558,0.1429985,,0.0009858162,0.00013677194,0.00014806761,3.955148e-06,0.0013923256,0.0010567267,0.9939075,1.4594015e-05,0.00012104766,2.2701775e-05,0.00010067305,0.0032324768,mitm,7.374420251601247e-05,0.0027857045644975333,0.0014920119942574608,0.00013503441680158185,0.9904226043600236,0.004616173322586281,0.00018277209063778386,2.416575334631949e-05,0.00022937579216812947,3.8413503165363365e-05
9.656242e-07,1.279697e-06,,2.0510017e-05,,0.9999746,1.8239089e-06,1.3450056e-10,4.949274e-07,2.8453752e-07,,0.68636477,0.00053253863,0.000417024,0.0005831432,0.16811368,0.14286594,,0.0009860126,0.00013683722,0.0005367523,3.3711606e-06,0.0022002403,0.0017734428,0.9891537,2.1376954e-05,0.00014162782,1.4143973e-05,0.00026126622,0.005894037,mitm,7.476871527170565e-05,0.0027716228649075254,0.001517140039778087,0.00013682727664302265,0.9903999246829166,0.004619650647511399,0.0001838864239266447,2.4531214724388795e-05,0.00023272492317019197,3.892321115054181e-05
1.3307588e-06,3.5156916e-06,,4.5324792e-05,,0.99994564,2.9345024e-06,1.314866e-10,7.6814626e-07,6.253413e-07,,0.68665135,0.00053193216,0.00041619255,0.00058231223,0.16796656,0.14272846,,0.0009862346,0.00013690493,0.0016138435,3.902914e-06,0.0028654637,0.0016238671,0.9882664,8.82767e-06,9.470922e-05,2.007333e-05,0.0004741073,0.0050287507,mitm,7.618698679919084e-05,0.002769659133713838,0.0015298275088746424,0.00013743090886349522,0.9903944814549102,0.004609400177582534,0.00018490674845849557,2.4655207810092665e-05,0.00023475985208779073,3.8692020899606625e-05
1.8861435e-06,7.0503465e-06,,7.7649034e-05,,0.99990714,4.3518226e-06,1.5158827e-10,1.0650848e-06,8.7061363e-07,,0.68694603,0.00053131615,0.00041534242,0.00058146456,0.16781516,0.14258724,,0.0009864802,0.00013697478,0.002001305,8.290958e-06,0.0037630387,0.0021034179,0.9858861,1.25202505e-05,7.2265975e-05,1.836632e-05,0.00056179124,0.0055728867,mitm,7.690669128736036e-05,0.002763560932852912,0.0015466267753942908,0.00013856648578513658,0.9903872918822764,0.004601222342091162,0.00018584781789489967,2.483563983146557e-05,0.00023645635165058852,3.868508093594261e-05
