uAgent_emb_0,uAgent_emb_1,uAgent_emb_2,uAgent_emb_3,uAgent_emb_4,uAgent_emb_5,uAgent_emb_6,uAgent_emb_7,uAgent_emb_8,uAgent_emb_9,uAgent_emb_10,uAgent_emb_11,uAgent_emb_12,uAgent_emb_13,uAgent_emb_14,uAgent_emb_15,uAgent_emb_16,uAgent_emb_17,uAgent_emb_18,uAgent_emb_19,uAgent_emb_20,uAgent_emb_21,uAgent_emb_22,uAgent_emb_23,uAgent_emb_24,uAgent_emb_25,uAgent_emb_26,uAgent_emb_27,uAgent_emb_28,uAgent_emb_29,uAgent_emb_30,uAgent_emb_31,uAgent_emb_32,uAgent_emb_33,uAgent_emb_34,uAgent_emb_35,uAgent_emb_36,uAgent_emb_37,uAgent_emb_38,uAgent_emb_39,uAgent_emb_40,uAgent_emb_41,uAgent_emb_42,uAgent_emb_43,uAgent_emb_44,uAgent_emb_45,uAgent_emb_46,uAgent_emb_47,uAgent_emb_48,uAgent_emb_49,uAgent_emb_50,uAgent_emb_51,uAgent_emb_52,uAgent_emb_53,uAgent_emb_54,uAgent_emb_55,uAgent_emb_56,uAgent_emb_57,uAgent_emb_58,uAgent_emb_59,uAgent_emb_60,uAgent_emb_61,uAgent_emb_62,uAgent_emb_63
0.010804221,0.025745498,0.014431358,0.064569704,-0.0017086559,-0.0010389477,-0.0008409023,-0.05322828,0.013486281,0.0293681,0.021140644,0.04544921,0.01464638,0.0044468557,-0.019371519,-0.0036751025,-0.015483225,0.078252696,-0.05089888,-0.014164505,0.07603829,0.050365984,-0.003822626,-0.01296366,-0.021556163,0.01989782,0.017108202,-0.060326383,0.019883554,-0.012750567,-0.039480504,0.07455193,-0.028222272,-0.017889487,-0.016518665,-0.025984611,-0.057787243,-0.06293436,0.03741707,0.07659378,0.03692607,0.06734035,-0.073515624,0.009079124,-0.011074635,0.019534001,-0.012205785,0.021640982,-0.013180064,-0.03693361,0.07113613,-0.022634022,0.0015258283,0.053590357,-0.005362021,0.019741619,0.038145956,-0.011794686,-0.031446464,0.001422202,0.04222514,-0.008738113,0.028737985,-0.020297226
0.004540559,-0.027915498,0.061551385,-0.0039400486,-0.06384385,-0.074615024,-0.04356612,-0.055423897,-0.0060335337,0.019450035,-0.078994356,-0.06166721,-0.028421508,0.009398291,-0.02078793,0.025629317,-0.042265516,-0.031039774,0.06634157,0.02440181,-0.036023233,0.05714554,0.028427698,0.07030884,-0.016827745,0.023626413,-0.06460237,-0.06286989,0.06883431,-0.025815144,0.006690539,-0.006050259,0.0035194845,0.077944264,-0.01247277,-0.009183937,-0.04213454,0.014373062,0.06406992,-0.05458046,0.07801642,-0.01763246,-0.065136254,0.07770772,-0.043664098,-0.0521876,0.006575119,-0.012899489,0.014716955,-0.014832272,-0.003077474,0.0030343235,-0.016655514,-0.028137924,-0.04525892,0.026941998,0.04590115,-0.004834145,-0.05872908,0.04258127,0.005040759,0.046752546,-0.03579568,0.009971083
-0.022943705,0.0138025135,-0.047853414,-0.019818502,-0.013636441,-0.0083615165,0.012226971,-0.058942713,0.031447623,0.062225316,0.030173145,0.016153228,-0.058149,-0.059049778,0.03753696,-0.06192147,0.01702273,0.017686909,-0.029429343,-0.03484671,-0.05307048,0.015664337,-0.035921805,-0.02371903,0.03156097,-0.039447974,0.0058714896,0.024769394,0.012389658,-0.057743665,0.012378784,-0.025376055,-0.059465125,-0.030968081,-0.028551787,0.017094798,-0.005988887,-0.02797407,0.01381344,-0.022283167,-0.026594022,-0.031988136,0.034508806,-0.039916143,-0.0030825336,-0.0095932875,-0.0530137,0.026519803,-0.049303398,0.06083387,-0.02089572,-0.022326848,-0.0035598166,-0.027631188,-0.038274337,-0.025520025,-0.045049984,-0.040118974,-0.0036037774,-0.06126617,-0.036709394,0.048551,-0.051142506,0.054134235
-0.010620088,0.045285136,0.07586888,0.0069987588,0.018602213,-0.058540594,0.024645949,0.04796675,0.030150317,-0.07175878,0.069708034,0.032518875,0.01086632,-0.0017194918,-0.065526806,-0.010903562,0.013709728,0.07192003,0.010140551,-0.052375346,0.021852797,-0.051152386,-0.014000874,-0.018600361,-0.009213211,-0.023620656,-0.009126868,-0.027192159,0.07153588,0.019804316,0.061366998,-0.049400963,-0.01146639,0.00021179247,0.057139363,0.019433789,-0.025640294,0.030507218,-0.05892222,-0.06103544,-0.0430239,-0.0033151065,-0.031546112,-0.017901424,0.014107916,0.049016215,-0.039207283,-0.047484804,0.070700854,-0.0054535507,0.03522129,0.0030034576,-0.009009408,0.020955823,-0.0626618,-0.0787555,-0.013172416,-0.06987016,0.0046800207,0.023060005,0.049766768,-0.0034497152,0.045150466,-0.033807773
0.0055353,0.002015445,0.017400978,-0.022322388,-0.055883415,0.005030137,0.010071334,-0.019739065,0.058573965,0.050432533,0.052062158,0.06698208,0.04085143,-0.0104945265,0.06574523,-0.015439745,0.06405064,0.06870092,0.050364092,0.027939754,-0.03395194,0.020503994,-0.036359433,-0.03568005,-0.036213793,-0.020232948,0.051006038,0.009124382,-0.015465589,0.0040494497,0.009729812,0.063120194,-0.060863193,0.004131445,0.0024899004,-0.051051658,0.071238235,-0.023552949,-0.047827013,0.0056848396,0.037741493,0.06817628,0.031131389,-0.051726308,0.06640898,-0.0077409497,0.0006017761,-0.06603681,0.025380004,0.04762092,-0.048935834,-7.74613e-05,-0.048279658,-0.07407907,0.026961176,0.043300252,0.028889699,-0.008044371,0.018789196,-0.024932398,-0.00037565726,0.020877985,0.012796701,-0.04566248
0.052144,-0.021513874,0.024095736,0.07684097,0.002088034,-0.07273428,0.026381336,0.004274873,0.009256719,-0.052737564,-0.033587806,-0.03343269,-0.056076698,-0.069276996,-0.059833515,-0.013894761,-0.03762375,-0.008517184,-0.0064296345,-0.006608382,0.059501838,-0.030954,-0.02799258,-0.002695876,-0.042565487,-0.04543945,-0.01158599,-0.019547077,0.061850373,0.015925176,-0.021391856,0.0012385861,-0.030634997,-0.018157823,-0.0063398033,0.04302084,-0.017306993,0.0004035851,0.059442904,0.00054484885,-0.0096111605,-0.0147777,0.037861582,0.04114817,0.0050948826,0.013123303,0.048352074,0.053879634,-0.044079702,0.01611358,-0.029922241,0.060007155,-0.014771075,0.019660925,-0.041017853,-0.07172966,-0.0707616,-0.008514271,0.033400107,0.060419183,0.058774527,-0.017751189,-0.07427514,-0.014546522
0.01455404,0.020423928,0.06510309,0.0025809654,0.035024945,0.03928674,0.05534972,-0.020235458,-0.023931867,-0.027468126,-0.06495338,-0.019997787,-0.0111039905,0.03357906,0.010380673,0.017202072,0.022049569,-0.051241014,-0.020021154,-0.05214337,0.049672455,0.020651532,-0.008235716,0.053102117,0.04947483,-0.019518124,0.042933848,-0.019555682,-0.0073018535,-0.06418151,-0.03793571,-0.00947753,0.054504175,0.07137201,-0.046158567,0.016477954,0.0144905085,0.016917117,0.008279701,-0.0039208434,0.052240808,-0.013296667,-0.04521559,-0.02741431,-0.0023482954,0.0061245454,0.019280097,-0.01654867,-0.0057315035,0.042809337,-0.016910832,0.0018391097,0.058934074,-0.005207143,-0.015506958,0.019745125,0.07260277,0.007172576,0.016919428,0.023984037,0.060802527,-0.037584364,-0.05857423,-0.016542751
-0.056590967,0.03520194,-0.008136562,-0.03280704,-0.056151953,-0.0128920805,-0.012321575,-0.00017410735,-0.033685096,-0.023912242,-0.033884443,0.035163168,-0.052911952,-0.009690327,-0.0507435,-0.031428035,-0.022465253,-0.048964024,0.044010326,0.021994451,-0.034345802,0.013518053,-0.012117243,0.037474565,0.072258696,-0.073806226,-0.07340723,-0.011753664,-0.04690931,0.04583252,-0.021667168,0.072385974,0.0033867988,-0.038661826,0.016058363,0.029408107,0.056144103,-0.06639275,0.013358698,-0.017967481,0.052806422,0.015867744,-0.051906005,-0.059336174,0.060338534,0.023738854,-0.0713737,-0.017415104,-0.0011116327,0.0019826393,0.00010256862,-0.021471279,-0.051287167,0.018607238,0.04012716,0.059772894,-0.049089644,0.012206396,-0.013741703,-0.014296035,0.025464278,0.02098308,0.069001414,0.057426453
-0.029359361,-0.011433317,0.021822657,0.07095034,0.008665319,0.0227798,0.017523672,0.006310217,0.047950007,-0.0022775403,-0.0034062925,-0.009680126,0.06543108,-0.01546571,0.018856212,-0.014611019,0.018204018,0.017067121,0.05299534,0.021954741,0.074239,0.009187375,0.00894123,0.069701396,-0.008187442,0.005283605,0.06299328,0.07070755,0.019246733,0.0050763316,0.0007782389,-0.023408432,-0.051509555,-0.02006971,0.038809057,-0.04810098,-0.0025053462,-0.015503258,0.031576153,-0.024879362,0.00259098,0.013010003,0.008092725,-0.050277967,0.025120586,0.05335415,-0.0056635286,0.0130478665,0.060452543,0.061396986,0.061019726,-0.04231762,-0.011322746,0.059575256,0.05650053,-0.016228743,0.03935798,0.03296605,-0.0076290644,0.011965677,0.043214615,-0.011607285,0.018891603,0.01447671
0.03253913,-0.020534307,-0.012325379,-0.025985977,-0.00374473,0.028205045,0.011605236,-0.039240066,0.020005869,0.02481155,-0.031131098,0.01408266,0.005717545,0.0071575115,0.04509254,0.045777917,0.024903597,0.054564346,0.010593412,0.015615718,0.035318803,-0.0235222,-0.021219851,0.011701421,0.03666908,0.04076401,-0.017503647,0.02664656,0.009641734,0.0234376,-0.032302655,-0.035271626,-0.027933508,0.013570616,0.016958233,0.008614121,-0.032140523,0.024331367,-0.0017766438,-0.04009533,-0.026997624,-0.035029534,-0.027466955,0.014821266,-0.019704184,0.00021164892,0.021181665,-0.020216042,-0.025421487,-0.044276964,0.0424013,0.006078288,-0.005535273,0.035688486,-0.0590442,-0.02750349,-0.015634546,-0.0007072412,0.007885862,0.042611368,-0.019965045,0.049591154,-0.010741313,-0.035850868
0.020361867,0.03100262,-0.042541545,0.026186451,-0.013953395,0.024770139,0.04397535,0.06919812,-0.036420982,0.0004892466,0.0013011125,-0.017636845,0.0018018916,0.022984512,-0.0664079,-0.011807192,-0.056115117,0.00071721856,0.023469467,0.009277387,-0.068169124,-0.025122162,-0.0011562768,0.049396846,0.06480374,-0.035986222,0.0048271692,-0.027479755,0.058733825,0.06525455,0.054487966,0.013255643,-0.012509913,0.008721065,-0.007907105,-0.00084445305,0.04848654,-0.05097604,0.049266282,-0.00658303,-0.004299263,-0.005100133,0.020137183,-0.062258806,-0.06908891,-0.03567241,0.013381223,-0.03314076,-0.033122078,0.02420559,-0.02855025,-0.0585543,0.041600388,0.06211328,0.016228333,-0.002337806,-0.0055514774,0.017132187,-0.024041774,-0.018313574,0.01867174,-0.009159477,-0.043355625,0.03374535
0.0059144646,0.03183467,0.025703544,-0.013288459,-0.059578136,0.032007236,-0.075162716,-0.016256697,-0.024668511,0.005100282,-0.017643532,-0.021796312,-0.02988236,-0.012922716,0.051253658,0.07058297,-0.016887726,-0.06329263,0.057331644,0.010125124,-0.018677814,0.04604854,-0.0544673,-0.07569294,0.0024239474,0.04678319,0.006691469,-0.04307227,0.07217122,-0.015691714,-0.008677481,-0.016375741,-0.016906017,0.041392673,0.03557867,0.006643099,0.056542546,-0.019717345,0.07148134,0.03127846,-0.010804598,0.047940195,-0.046977527,-0.0054884055,-0.03821877,0.011056418,-0.07812885,-0.008635141,0.03991785,0.05526173,-0.045898687,0.01762946,-0.0037650242,0.045799553,-0.06820648,-0.04176477,0.028078405,0.06960896,0.07014332,-0.024085829,0.049406108,-0.055695157,0.06512793,0.0034703433
-0.055405308,0.0032097064,-0.06357103,-0.023603592,0.03795138,0.0012004174,0.038576692,0.031021627,0.0016008451,-0.023896296,0.01170367,-0.0702397,0.03333057,-0.055138234,-0.07104198,-0.025921026,0.0029940407,0.068248294,-0.016175397,-0.01853145,-0.06623375,0.0051136795,0.022361878,-0.057536364,-0.0076217386,-0.008043016,-0.06857982,-0.025077783,-0.0363002,-0.06405787,-0.0018874841,0.009494554,0.0023481424,-0.004111539,0.022733264,-0.0032115167,-0.023880009,-0.06634545,-0.06524516,0.008210892,-0.020789048,-0.012664005,-0.00013976131,0.005713543,-0.0032394745,-0.0040182387,0.023303416,-0.012665117,-0.042559795,0.03951479,-0.033517256,-0.052038997,0.021874737,-0.056445085,0.061456826,0.011984997,0.034955665,0.025887322,-0.01000807,0.06208842,-0.004930426,-0.0010956358,0.04267754,0.020140572
0.007240309,0.06722004,0.033814978,-0.040138748,0.024738256,0.049191885,-0.029928578,-0.02622052,-0.044900574,-0.0038361945,0.023850977,0.014869226,0.0025238884,0.061351985,0.029400943,0.006737504,0.0035599628,0.04166756,-0.024775837,-0.028007677,0.017219108,-0.06569946,-0.0026906992,-0.028208027,-0.0040342514,-0.019093866,-0.0075628064,-0.04845694,-0.033335935,0.029508965,-0.027578246,-0.015642595,-0.018444404,0.06825952,-0.054340612,0.040826842,-0.013819719,0.007891644,0.028997904,-0.0035422717,0.01772323,0.025979593,0.007871124,0.013572838,-0.023031572,0.021732975,-0.009169029,-0.023357159,0.04628103,0.066853054,0.0031566385,-0.012887532,-0.02599403,0.030463386,-8.0579266e-05,0.017466959,0.015899584,0.007504576,0.02233289,0.0125897415,-0.010651244,0.0011613206,0.00479478,0.014085558
-0.003698026,0.020845188,0.015827388,-0.019707326,-0.021331983,0.019309204,0.044891853,-0.0277346,-0.01948609,-0.010076244,0.067123495,0.012805801,0.026000842,0.06584122,-0.008669055,-0.034267318,0.020308362,0.0139067685,0.031085258,0.0036778545,-0.0028668903,-0.028028294,-0.041340724,0.04479846,-0.026032653,-0.03393882,-0.034209944,0.031618234,-0.041624144,-0.015776891,-0.008617766,-0.029498732,-0.05757645,0.042559095,0.007258172,0.062438484,0.029749136,-0.045609523,-0.06306461,0.00411106,0.03568421,0.029305158,0.009474865,0.03631616,0.038459387,0.04651475,0.025280958,0.06051365,0.008341262,-5.2677933e-09,0.008477241,0.023843043,-0.018766768,0.052758437,-0.021955129,0.065587915,-0.062770896,-0.052517626,-0.0486111,-0.043026812,0.0190355,0.015263045,-0.02027939,0.027667366
0.007067543,0.038954373,-0.026718663,-0.035591897,0.00342786,0.024938606,0.007258779,-0.018546341,-0.019757355,0.005439047,-0.027870256,0.009348378,-0.008223311,0.05218562,-0.011483973,-0.02857499,0.011666802,-0.02886903,-0.05557122,-0.04122012,0.04900274,0.02320571,0.04130254,0.061109927,0.013893841,-0.005381996,-0.00042834954,-0.026856484,0.012700708,-0.03530452,-0.032842945,-0.054425597,0.012592811,0.06287182,0.024859669,0.056742426,0.016590541,0.007826158,-0.048246805,0.029238198,-0.03203594,0.021367306,0.032806236,-0.026817713,-0.030936623,0.009300836,-0.0006013628,0.02748377,0.048541468,-0.06193185,0.05423112,-0.005942922,0.055966184,0.0044272332,0.034360543,-0.04510473,0.024092058,0.019785173,0.05542304,-0.055313684,0.02626107,0.017393125,0.0007248476,0.018049166
-0.011494566,0.07579406,0.05206837,0.021168103,-0.06596245,0.022790508,0.01976574,0.019875243,-0.068720326,0.05881994,0.018414395,-0.021205347,-0.062185206,0.011131966,0.05841268,-0.0010156328,-0.001952294,-0.038409073,-0.0041060788,0.07060267,-0.05059037,0.023386529,-0.04551202,0.06296495,-0.06443531,0.004606696,0.042416435,-0.06374995,-0.015204873,-0.0062292013,0.03675468,-0.03953927,0.007952215,0.03223933,-0.014296244,0.075257264,0.017565407,0.04539831,-0.0005357176,-0.025492456,0.0589893,-0.014255141,0.04111419,0.013217934,-0.021325693,0.06528611,-0.07541247,0.03552465,0.019562514,0.007309096,-0.07475782,0.021450369,-0.02034077,0.026319694,0.005696053,0.0044476385,-0.005696237,-0.019103725,-0.07169215,0.005928835,0.0011474974,-0.008751517,-0.046728797,-0.05800608
