PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,type
0.04975346582928808,0.8689271568573851,0.6715615809633134,0.33493127556026947,0.1300719432459187,0.08159618840014715,0.5758754859881177,0.21530984700278893,ddos
0.160783571690658,0.8399526618209137,0.8795770634645526,0.4164543389078398,0.08228805165449662,0.3909222039162338,0.4634794567491149,0.09837939007241586,ddos
0.21883318586328335,0.1362534760529582,0.5351244602792009,0.37905409867174533,0.2572384170661921,0.7461781277000717,0.3354549123931137,0.2978231739952403,ddos
0.2188095738135758,0.13623349387446496,0.5351194173202771,0.37905377371199367,0.2572373000864164,0.7461699807248692,0.3354520826492572,0.29781150124356126,ddos
0.1840878971727356,0.7395716167363151,0.8385718746204691,0.42236170654390914,0.12453663867652554,0.5068332714311591,0.09218520011204073,0.7738027753983777,password
0.16067632029391998,0.8398619152711685,0.8795541707325811,0.41645288226750143,0.08228302461527578,0.3908853992836321,0.463466641353353,0.09832633280229497,ddos
0.0029263319418396105,0.8055192747610684,0.6456601409375005,0.30421819867692607,0.14334732440911457,0.07091144197220484,0.5751856561699334,0.16136213513142794,xss
0.07277564693561211,0.7683073419644983,0.6304961322419195,0.3408347601488785,0.17230718318655688,0.19740990588647558,0.2045474160021119,0.8905937529942731,password
0.04934085526356041,0.8685779767536176,0.671473457394081,0.3349255970249593,0.13005242449710402,0.08145382346041469,0.5758260374132798,0.21510587061358688,xss
0.07270240956089458,0.7682453633425821,0.6304804905222778,0.34083375222263734,0.17230371865603825,0.1973846364549714,0.20453863899996455,0.8905575476797447,password
0.04918517581633575,0.8684462298473903,0.6714402080550654,0.33492345449332483,0.13004506000306865,0.08140010865782826,0.5758073802885496,0.21502890958990842,xss
0.0024472874735277372,0.8051138736122103,0.6455578287044854,0.30421160584789725,0.14332466297124802,0.07074615503466514,0.5751282459429037,0.16112531676294134,xss
0.16002358384997417,0.8393095066153545,0.8794147485684412,0.4164438796077692,0.08225210005036956,0.39065998178187306,0.4633883773664661,0.09800368574353263,injection
0.1600087762935269,0.8392969754183062,0.8794115860346146,0.41644367581903396,0.08225139957122388,0.3906548726620856,0.463386602781391,0.09799636554335295,injection
0.15999717037061845,0.8392871536700379,0.8794091072923196,0.4164435160928696,0.08225085054706602,0.39065086821642037,0.4633852118900931,0.09799062808896608,injection
0.1599727579118797,0.8392664941291262,0.8794038933858408,0.4164431801178282,0.08224969570374463,0.3906424450726866,0.46338228622288763,0.09797855965096663,injection
0.15996355321418387,0.8392587044666103,0.8794019274867961,0.41644305343869803,0.08224926027094795,0.39063926913316066,0.4633811831023978,0.09797400925623617,injection
0.1599591509679224,0.8392549789753215,0.8794009872739037,0.4164429928529034,0.08224905202049543,0.39063775020561226,0.4633806555229903,0.097971832980499,injection
0.15993153687576056,0.8392316099867988,0.8793950895762526,0.41644261281512496,0.08224774572208299,0.3906282223871528,0.46337734616153947,0.0979581817963236,injection
0.15992913565031203,0.8392295779008083,0.8793945767330247,0.41644257976835175,0.0822476321309979,0.39062739388120626,0.46337705839096854,0.09795699473688052,injection
0.9406652313516992,0.1601228035759332,0.6197453374711936,0.12877032656630968,0.2559655244027194,0.47539684067381505,0.47166123757446193,0.363855026485798,password
0.9610237112607151,0.17070372787887528,0.6189265521538596,0.12708612638026595,0.2669923033789895,0.4619145208644196,0.4692797423015573,0.3628968125431767,password
0.7832852498682549,0.17365199676725182,0.40109822149305274,0.04679612737788172,0.2763660598763299,0.1835962262903579,0.5948581825977981,0.49509900632861503,password
0.7832848496640221,0.17365165808626173,0.4010981360191734,0.04679612187008514,0.2763660409444682,0.1835960882060328,0.5948581346360368,0.4950988084853659,password
0.8022683808675799,0.18550278404199827,0.39760317257502553,0.04420749829147874,0.2865355039391844,0.16752100990408036,0.5935686307603478,0.4968135822859284,password
0.8402338424577442,0.2092036812295066,0.39061290379120345,0.03903022910307419,0.30687435420117987,0.13537030096289676,0.5909894311619234,0.5002423385140512,password
0.9419523380675676,0.15890915928826344,0.6222937744016522,0.12962425825416815,0.2568154780793253,0.47780638655805296,0.47059559612221397,0.3613013943257892,password
0.9406584278797151,0.16011704599905083,0.6197438844152521,0.12877023293381745,0.2559652025610794,0.47539449324028005,0.471660422224538,0.36385166315057343,password
0.9610169077887304,0.17069797030199352,0.6189250990979167,0.12708603274777477,0.26699198153735004,0.4619121734308842,0.4692789269516314,0.36289344920795,password
0.23344793603504338,0.13063826486742977,0.5492350416988252,0.38394839890310906,0.2381113781582136,0.8059675041268497,0.4194839823703522,0.3250331607340173,password
0.8212459090076105,0.19734882978284535,0.3941069270226821,0.04161879209595942,0.296704682955988,0.15144386033726326,0.5922784074582503,0.49852538843775684,password
0.9610145065633233,0.1706959382160352,0.6189245862546434,0.12708599970101317,0.26699186794618346,0.461911344924931,0.4692786391810702,0.36289226214845927,password
0.940654425837382,0.16011365918912174,0.619743029676457,0.12877017785587566,0.25596501324246246,0.4753931123970234,0.47165994260693145,0.36384968471808443,password
0.9229636042089688,0.14705363047961148,0.6257876266853774,0.13221281023146242,0.24664576897041282,0.49387966976376574,0.4718844764950227,0.3595840485629992,password
0.9596375568366899,0.1719644464638684,0.61624798075843,0.1261815487694752,0.2661344573053249,0.4593178960107561,0.4703703907694834,0.3655642606753987,password
0.9708879434487173,0.16068883888343782,0.6401814150578,0.13380042661356645,0.27584546304571617,0.4789170731472951,0.45910504338425745,0.341408134314937,password
0.8022575753532455,0.18549363965518792,0.397600864780288,0.04420734958104733,0.2865349927789357,0.16751728162729995,0.5935673357928192,0.4968082405182158,password
0.8212399059440949,0.1973437495679498,0.3941056449144976,0.041618709479054605,0.2967043989780705,0.15144178907238032,0.5922776880318465,0.4985224207890292,password
0.840222636739179,0.2091941981617046,0.3906105105225865,0.039030074884855215,0.3068738241090664,0.13536643460178593,0.5909880882326342,0.500236798903091,password
0.7832704423115836,0.17363946557050958,0.4010950589595307,0.046795923589516286,0.276365359397467,0.1835911171703132,0.5948564080126686,0.4950916861284204,password
0.04971296786739404,0.08780839974953095,0.29668713757433496,0.2602814398489293,0.32873470465834936,0.41119574939977144,0.42075029911546424,0.33649777026346794,normal
0.05902295968888277,0.10044358013186014,0.30185576866100244,0.2664237597245737,0.32607693423917067,0.4133132640928421,0.4208815134834579,0.34726066742247713,normal
0.04645495093152602,0.08338721468580207,0.2948784626423966,0.25813228428574997,0.32966485502770376,0.4104543546873194,0.4207042678826462,0.33273204120954825,normal
0.05390265982477438,0.09349469050568834,0.2990131625052741,0.2630457512124604,0.32753867974561013,0.41214852322392537,0.4208093023127568,0.3413415974838765,normal
0.05297119822621904,0.09223008617774273,0.29849596626111563,0.26243088714246254,0.32780452349905803,0.41193702652561137,0.42079628314649553,0.3402640704070471,normal
0.052971269367204754,0.09223025329923693,0.2984960175127298,0.26243098438591383,0.3278045132357457,0.411936987330074,0.4207962674125666,0.34026426077026684,normal
0.0576265854123843,0.09854859553712572,0.30108056368832703,0.26550258191926684,0.3264755818412509,0.41299556829669104,0.42086180379388327,0.34564656598426036,normal
0.04738548769726847,0.0846496464343223,0.2953949926155716,0.25874588419088107,0.32939914469731596,0.4106663609276195,0.4207174915899836,0.33380709356452065,normal
