cmd_emb_0,cmd_emb_1,cmd_emb_2,cmd_emb_3,cmd_emb_4,cmd_emb_5,cmd_emb_6,cmd_emb_7,cmd_emb_8,cmd_emb_9,cmd_emb_10,cmd_emb_11,cmd_emb_12,cmd_emb_13,cmd_emb_14,cmd_emb_15,cmd_emb_16,cmd_emb_17,cmd_emb_18,cmd_emb_19,cmd_emb_20,cmd_emb_21,cmd_emb_22,cmd_emb_23,cmd_emb_24,cmd_emb_25,cmd_emb_26,cmd_emb_27,cmd_emb_28,cmd_emb_29,cmd_emb_30,cmd_emb_31,cmd_emb_32,cmd_emb_33,cmd_emb_34,cmd_emb_35,cmd_emb_36,cmd_emb_37,cmd_emb_38,cmd_emb_39,cmd_emb_40,cmd_emb_41,cmd_emb_42,cmd_emb_43,cmd_emb_44,cmd_emb_45,cmd_emb_46,cmd_emb_47,cmd_emb_48,cmd_emb_49,cmd_emb_50,cmd_emb_51,cmd_emb_52,cmd_emb_53,cmd_emb_54,cmd_emb_55,cmd_emb_56,cmd_emb_57,cmd_emb_58,cmd_emb_59,cmd_emb_60,cmd_emb_61,cmd_emb_62,cmd_emb_63
0.045087293,0.004242658,0.08200768,0.008469968,-0.009261005,-0.03220419,-0.002845392,-0.0836807,0.011686568,-0.0073071145,-0.025490725,0.0022248265,-0.03403452,-0.08037233,0.0004039607,0.07162059,-0.014686913,0.057451617,-0.081147216,-0.06979578,0.010061841,-0.034845114,0.003046038,0.035857283,-0.00508637,0.08633317,0.024508413,0.03593647,-0.07865348,0.0016093097,0.07268648,0.018779047,-0.07525873,0.09710527,-0.05684021,-0.014917472,-0.07719846,0.038558166,0.08715019,0.087788455,-0.081198834,0.016410092,-0.016983489,-0.08356223,0.045618247,-0.044230968,-0.032305308,0.0050479006,-0.08769134,0.008231521,-0.07461587,0.08836721,0.050587617,-0.021919373,0.013398277,-0.08342929,-0.026435953,0.06968171,0.0050028586,0.004999691,0.052976597,-0.06033774,-0.083695374,-0.060803883
-0.019634282,-0.0541441,0.015267415,-0.059001524,-0.08859681,-0.05712263,0.028709847,0.061654475,-0.08301153,-0.027417954,0.07815307,0.0692602,-0.024150493,-0.013321416,0.05017296,0.06663504,-0.058060274,0.06146073,-0.035622362,-0.052105583,-0.0860536,0.026429845,0.06353678,0.013104458,0.06349012,0.07292524,0.029271485,0.07180223,0.047488026,0.056598123,-0.011367876,-0.0073667294,0.070807785,-0.049128592,0.10122478,-0.033499084,0.0818174,-0.028885141,-0.02039609,0.09154046,0.077064805,0.067368895,-0.06501137,-0.07598982,-0.08010787,-0.089967184,0.03323541,0.041563496,0.043796316,0.0064468444,-0.092659615,0.04746614,0.054833602,0.0025991623,-0.039912544,0.040497005,-0.04194157,0.04438343,0.044588357,0.047736503,0.07918114,0.07275988,-0.07429339,-0.019193787
-0.015115579,-0.014826091,-0.050748374,-0.006118914,0.06121571,-0.037503522,0.043508124,0.023264308,-0.004256608,-0.006263518,-0.07224577,-0.03012514,0.018713547,0.004858101,-0.002582489,-0.09301317,0.011037764,-0.0153427925,-0.077231616,-0.010153171,-0.011094008,0.046927974,0.06695091,-0.0020226594,-0.017778955,0.046540104,-0.033614364,-0.002269622,0.0073770336,-0.01666807,0.04019152,-0.050865237,-0.07827734,0.085321724,-0.06065702,0.06137453,0.06623104,-0.0692633,0.04726264,-0.005516823,-0.08583193,-0.004057704,-0.01556172,-0.06980978,0.01058726,-0.06795218,0.0062491163,-0.061363373,0.027852435,-0.044395715,0.030535672,0.024494905,-0.06388808,-0.050858837,0.05394986,-0.07934435,-0.0007568872,0.042606186,0.005236434,-0.09057983,-0.06842603,-0.04738599,0.0625364,0.001058317
-0.0034958604,0.06474614,0.01359575,0.08236187,-0.066289335,-0.06898906,0.06591137,-0.07487172,0.07517944,-0.04683629,0.09533628,-0.07460507,-0.081970386,0.07154942,0.016628288,0.04594226,0.0021532455,-0.01498935,-0.07719371,-0.010116316,-0.008405412,0.0030601155,-0.010376743,0.082944825,0.05749351,0.01452835,-0.041081443,-0.0066450457,0.03744205,-0.019077767,-0.0072131995,-0.0018111096,-0.0807885,0.05180015,-0.047112737,0.093815014,-0.06409375,0.095101275,-0.075986035,-0.030802773,0.038366094,0.08516946,0.004904228,0.069188416,0.0538146,-0.078410655,-0.035579965,-0.044154484,0.036320228,0.0056431084,-0.018388906,0.036224686,-0.086167425,0.050904356,-0.08863379,-0.041662093,-0.026079582,0.067526184,-0.071256675,0.054557204,-0.06012949,0.08571044,-0.012991342,-0.025909739
0.08938517,0.016515413,-0.07472671,-0.06909603,0.020685332,0.01901976,0.013948624,-0.00049777894,-0.014200445,0.078893915,0.011525155,0.07372919,-0.06422913,0.039189383,-0.064900704,-0.053277094,-0.07178487,-0.007912751,0.043439854,-0.07285043,0.04498499,-0.032215785,-0.08242485,0.07445879,-0.05336082,0.06256137,-0.015726406,-0.05404441,0.08803046,0.033089053,0.022222478,0.066958226,0.07908633,0.024039572,-0.010905718,-0.076996714,-0.03394128,0.016382946,0.079484485,-0.09252905,0.027665615,0.06613257,-0.058879443,-0.034965817,-0.0841747,0.09026029,0.08825928,0.044604093,0.05431508,-0.066138975,0.07543696,0.05282061,-0.0058470345,0.0629235,0.072238706,-0.02655236,-0.04459722,-0.06592676,-0.002742143,0.0837692,0.07471479,0.06922379,0.015826786,-0.0338492
-0.08636465,-0.06887529,-0.031770144,-0.059604824,-0.007007445,-0.08297194,0.049128808,-0.063325405,0.061621174,-0.048776362,0.030169515,0.013296524,-0.06198909,-0.0728426,0.08351451,-0.07128301,0.05022809,0.08136887,0.06865972,0.05446835,0.0066067893,0.024122072,0.07577483,0.04708444,-0.06225513,-0.026303899,-0.029625341,0.013333689,0.055960868,-0.04733225,-0.039344702,-0.004024032,0.0073049073,0.06998886,-0.046393644,0.050850682,0.028370222,-0.0638173,-0.02765808,0.042413842,0.040633768,0.033213675,-0.03498681,0.032931678,0.06968995,0.06565849,-0.047086682,-0.04630133,-0.097704746,0.08541479,0.055121012,-0.010501687,-0.044257283,-0.07636796,0.03739252,-0.027892066,-0.0049423366,-0.04996415,0.08609363,0.07131453,-0.09546155,0.0070027043,0.034813207,0.0672626
0.06276623,-0.068224885,0.0058960696,-0.06333246,-0.002144281,-0.035356443,0.009584439,0.042471964,-0.08714934,-0.018027868,0.010990858,-0.0856009,0.07559115,0.023769584,0.017671075,-0.012491078,-0.0025472934,0.0049705226,-0.016881503,0.03631367,0.07148633,-0.022526184,-0.011782735,0.06314086,0.02979138,-0.07889374,0.029941633,0.053190082,0.07797091,0.06653394,-0.061295483,0.038671758,0.02376293,-0.007367406,0.0797666,-0.017617341,-0.06061303,-0.093961105,0.03772331,-0.011178785,0.039905533,0.069592856,0.022777025,-0.07557325,-0.025957,0.08060002,-0.08348476,0.013699969,-0.051621117,-0.015321805,-0.07343813,0.0103932405,0.037395693,0.04116615,-0.078888685,0.05908192,-0.08992646,-0.0072226617,0.002407634,0.061209686,-0.08796859,-0.05303241,0.036334258,-0.022270266
0.056552604,0.06779111,-0.07040854,0.06327501,0.05081583,0.049699415,0.040073086,-0.014683646,-0.0026336883,0.02837928,-0.055187035,0.065631725,-0.049322046,-0.03253688,-0.08006029,-0.06651229,0.06735577,-0.028445061,0.0754,0.08765248,0.072729446,-0.092380665,0.088572666,0.055061612,-0.004360246,0.0025832516,0.048471376,0.030064426,-0.08178411,0.0970098,0.013124397,-0.07135072,0.09512032,-0.0028269524,0.012546713,-0.042176437,-0.07606204,0.047340196,-0.077039964,-0.013781531,0.02259882,-0.06892345,-0.029103694,0.018746482,0.0775858,-0.07589524,0.07762544,0.060138322,0.059461363,-0.08693535,-0.054236323,0.08734298,-0.07237593,0.071411066,0.06435118,0.08543301,0.077635564,0.07279495,-0.002326143,-0.05264808,0.04972699,-0.07900531,-0.09007098,-0.004016313
-0.054719042,0.04897139,0.043112047,0.091535345,-0.071187325,-0.06278632,-0.06522007,0.051719435,0.0006183835,0.0029122194,-0.054157946,-0.06872863,-0.058397926,-0.062472507,0.0772369,-0.052160174,0.07865545,-0.020927398,-0.0035215027,0.020859495,-0.046472818,-0.07969974,-0.03504109,-0.018078731,-0.0136102,0.044963684,0.017626623,-0.019007822,-0.050578896,-0.041932292,0.07481597,-0.066812925,0.06265144,-0.021246832,0.089649074,-0.0040658074,-0.018694332,-0.060699344,0.046343036,0.0039247535,-0.08578073,-0.027548984,-0.057657573,-0.05914521,0.016613899,-0.049913045,-0.025913885,-0.04856723,0.06418502,0.052031823,0.011744538,0.07059447,0.0037590016,0.039590582,-0.055624057,-0.014051027,0.08787262,0.06877743,-0.082690366,-0.014293545,0.07924162,0.067419216,-0.015515388,0.004507854
0.015853025,0.026917329,-0.07061946,0.006055089,-0.047990937,-0.0476812,0.020497276,-0.011120383,-0.06267481,0.08984929,-0.0729722,-0.049433164,0.038942136,-0.07285338,-0.0016528607,-0.039858945,-0.085956804,-0.028650487,0.0843241,0.08736561,0.043935265,0.054192055,0.015878001,-0.007801089,-0.08141888,-0.069117896,0.036220096,-0.030823767,-0.052252203,-0.07850498,0.05044062,0.07199559,0.057521146,0.074700095,0.034284722,0.05340839,-0.08420405,-0.054518,0.067646,0.03667789,-0.0012197493,-0.06823826,-0.06187511,-0.0330849,0.07840817,-0.08546652,0.054518696,0.031669196,0.026021777,0.013406268,-0.05040125,0.035299413,0.01078187,0.013500996,0.013604437,0.0097209215,0.071270265,-0.0007075481,-0.0706314,-0.03911545,-0.08372634,-0.04940977,0.005552113,0.00027143775
