disk.RDDSK,disk.WRDSK,disk.WCANCL,disk.DSK,memory.MINFLT,memory.MAJFLT,memory.VSTEXT,memory.VSIZE,memory.RSIZE,memory.VGROW,memory.RGROW,memory.MEM,process.TRUN,process.TSLPI,process.TSLPU,process.NICE,process.PRI,process.RTPR,process.CPUNR,process.EXC,process.CPU,PID,CMD,disk_is_off,memory_is_off,process_is_off,process.POLI_-,process.POLI_0,process.POLI_norm,process.Status_-,process.Status_0,process.Status_N,process.Status_NE,process.Status_NS,process.State_D,process.State_E,process.State_I,process.State_R,process.State_S,process.State_Z,type
0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.09375,0.5,0.047619048,0.864285714,1,0.5,0.00990099,0.21,0.034441053,0.6,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,ddos
0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.09375,0.5,0.047619048,0.864285714,1,0.333333333,0.00990099,0.202,0.034441053,0.6,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,ddos
0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.09375,0.5,0.047619048,0.864285714,1,0.5,0.00990099,0.202,0.034441053,0.6,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,ddos
0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.09375,0.5,0.047619048,0.864285714,1,0.333333333,0.00990099,0.224,0.034441053,0.6,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,ddos
0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.046875,0.5,0.047619048,0.864285714,1,0.166666667,0.00990099,0.216,0.034441053,0.6,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,ddos
0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.0625,0.5,0.047619048,0.864285714,1,0.166666667,0.00990099,0.202,0.034441053,0.6,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,ddos
0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.09375,0.5,0.047619048,0.864285714,1,0.166666667,0.00990099,0.204,0.034441053,0.6,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,ddos
0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.09375,0.5,0.047619048,0.864285714,1,0.166666667,0.00990099,0.508,0.034441053,0.6,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,ddos
0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.078125,0.5,0.047619048,0.864285714,1,0.166666667,0.00990099,0.566,0.034441053,0.6,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,ddos
0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.046875,0.5,0.047619048,0.864285714,1,0.5,0.00990099,0.2,0.034441053,0.6,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,ddos
0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.078125,0.5,0.047619048,0.864285714,1,0.5,0.00990099,0.2,0.034441053,0.6,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,ddos
0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.09375,0.5,0.047619048,0.864285714,1,0.166666667,0.00990099,0.202,0.034441053,0.6,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,ddos
0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.0625,0.5,0.047619048,0.864285714,1,0.166666667,0.00990099,0.2,0.034441053,0.6,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,ddos
0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.09375,0.5,0.047619048,0.864285714,1,0.666666667,0.00990099,0.202,0.034441053,0.6,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,ddos
0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.09375,0.5,0.047619048,0.864285714,1,0.5,0.00990099,0.2,0.034441053,0.6,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,ddos
0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.078125,0.5,0.047619048,0.864285714,1,0.166666667,0.00990099,0.384,0.034441053,0.6,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,ddos
0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.09375,0.5,0.047619048,0.864285714,1,0.666666667,0.00990099,0.2,0.034441053,0.6,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,ddos
0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.09375,0.5,0.047619048,0.864285714,1,0.166666667,0.00990099,0.206,0.034441053,0.6,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,ddos
0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.078125,0.5,0.047619048,0.864285714,1,0.166666667,0.00990099,0.236,0.034441053,0.6,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,ddos
0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.078125,0.5,0.047619048,0.864285714,1,0.166666667,0.00990099,0.202,0.034441053,0.6,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,ddos
2.24E-05,2.68E-05,8.11E-05,0.502512563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206915088,0.733333333,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,scanning
2.24E-05,2.68E-05,8.11E-05,0.502512563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207107067,0.733333333,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,scanning
2.24E-05,2.68E-05,8.11E-05,0.502512563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20762541,0.733333333,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,scanning
