disk.RDDSK,disk.WRDSK,disk.WCANCL,disk.DSK,memory.MINFLT,memory.MAJFLT,memory.VSTEXT,memory.VSIZE,memory.RSIZE,memory.VGROW,memory.RGROW,memory.MEM,process.TRUN,process.TSLPI,process.TSLPU,process.POLI,process.NICE,process.PRI,process.RTPR,process.CPUNR,process.Status,process.EXC,process.State,process.CPU,PID,CMD,label,type
,,,,16172.0,0.0,193.0,1.8,202.8,1024.0,13.6,0.06,0.0,23.0,0.0,norm,0.0,120.0,0.0,2.0,N,0.0,S,0.13,3257.0,Web-Content,0.0,normal
,,,,17610.0,0.0,193.0,1.8,203.6,0.0,772.0,0.06,0.0,23.0,0.0,norm,0.0,120.0,0.0,2.0,N,0.0,S,0.13,3257.0,Web-Content,0.0,normal
,,,,8955.0,0.0,193.0,1.8,216.9,0.0,13696.0,0.06,0.0,23.0,0.0,norm,0.0,120.0,0.0,2.0,N,0.0,S,0.13,3257.0,Web-Content,0.0,normal
,,,,9510.0,0.0,193.0,1.8,211.5,0.0,5620.0,0.06,0.0,23.0,0.0,norm,0.0,120.0,0.0,2.0,N,0.0,S,0.13,3257.0,Web-Content,0.0,normal
,,,,9480.0,0.0,193.0,1.8,210.0,0.0,1488.0,0.06,0.0,23.0,0.0,norm,0.0,120.0,0.0,2.0,N,0.0,S,0.13,3257.0,Web-Content,0.0,normal
,,,,9262.0,0.0,193.0,1.8,207.2,0.0,2832.0,0.06,0.0,23.0,0.0,norm,0.0,120.0,0.0,2.0,N,0.0,S,0.13,3257.0,Web-Content,0.0,normal
,,,,7421.0,0.0,193.0,1.8,227.6,0.0,20856.0,0.06,0.0,23.0,0.0,norm,0.0,120.0,0.0,2.0,N,0.0,S,0.13,3257.0,Web-Content,0.0,normal
,,,,15446.0,0.0,193.0,1.8,199.4,0.0,28.2,0.05,0.0,23.0,0.0,norm,0.0,120.0,0.0,2.0,N,0.0,S,0.13,3257.0,Web-Content,0.0,normal
,,,,17165.0,0.0,193.0,1.8,216.0,0.0,17036.0,0.06,0.0,23.0,0.0,norm,0.0,120.0,0.0,2.0,N,0.0,S,0.13,3257.0,Web-Content,0.0,normal
,,,,13049.0,0.0,193.0,1.8,212.8,0.0,3296.0,0.06,0.0,23.0,0.0,norm,0.0,120.0,0.0,2.0,N,0.0,S,0.13,3257.0,Web-Content,0.0,normal
