dns_emb_0,dns_emb_1,dns_emb_2,dns_emb_3,dns_emb_4,dns_emb_5,dns_emb_6,dns_emb_7,dns_emb_8,dns_emb_9,dns_emb_10,dns_emb_11,dns_emb_12,dns_emb_13,dns_emb_14,dns_emb_15,dns_emb_16,dns_emb_17,dns_emb_18,dns_emb_19,dns_emb_20,dns_emb_21,dns_emb_22,dns_emb_23,dns_emb_24,dns_emb_25,dns_emb_26,dns_emb_27,dns_emb_28,dns_emb_29,dns_emb_30,dns_emb_31,dns_emb_32,dns_emb_33,dns_emb_34,dns_emb_35,dns_emb_36,dns_emb_37,dns_emb_38,dns_emb_39,dns_emb_40,dns_emb_41,dns_emb_42,dns_emb_43,dns_emb_44,dns_emb_45,dns_emb_46,dns_emb_47,dns_emb_48,dns_emb_49,dns_emb_50,dns_emb_51,dns_emb_52,dns_emb_53,dns_emb_54,dns_emb_55,dns_emb_56,dns_emb_57,dns_emb_58,dns_emb_59,dns_emb_60,dns_emb_61,dns_emb_62,dns_emb_63
0.057884146,-0.03498483,-0.07457273,-0.009443232,-0.093949914,-0.09111649,0.0628148,-0.04052457,0.021764291,-0.09704204,0.012101085,0.010206868,0.012179611,-0.059582002,0.09218092,0.097468786,0.07496027,0.091570005,-0.07967278,0.019881774,-0.097343616,-0.06819399,0.06929275,0.055533886,0.03220977,-0.08558265,0.0019014742,-0.062016007,0.029380806,-0.08456717,0.044936992,0.002378825,0.081318215,0.06071349,0.056415044,0.0682998,-0.067588866,-0.03281354,0.06534414,-0.080538385,-0.06101338,-0.030928234,-0.008109376,0.004123777,0.026191054,-0.053029034,0.025789805,-0.018276954,0.0030428525,0.033227123,0.079849124,0.07829014,0.061764482,-0.075981654,0.06034547,0.0630662,-0.0024896164,-0.01649027,0.002616087,-0.04886929,0.058614902,0.0909931,0.031702176,-0.0022660808
0.0019060771,-0.055994797,-0.010438392,0.0796185,-0.09044704,-0.06677503,-0.063167945,0.057503752,-0.0658031,0.07388254,0.09330565,-0.019849364,-0.06148635,-0.07434602,0.0011117142,-0.07319432,-0.085615605,-0.047357205,0.0057018683,-0.096619345,-0.07220279,-0.0769184,0.10068306,0.06975699,0.017503317,0.023584073,-0.09198446,-0.06686698,-0.09884896,-0.08568231,0.06250099,0.08776809,0.008512655,0.05577226,0.042713776,0.10095318,0.06088498,-0.055952948,0.05579309,-0.0047272993,-0.030447638,0.08174295,-0.06192482,-0.045770444,0.0897869,-0.053215917,0.09524961,0.013822589,0.03271071,0.0071893297,0.040479157,0.0028815998,0.013350474,-0.05349387,0.0022980163,-0.010402689,-0.09411077,0.017591242,0.07268019,0.07809264,-0.074809924,-0.07378595,-0.0619924,0.07957833
-0.055356443,-0.08818739,0.03203488,0.05478888,0.037411395,0.043464214,0.0031913456,-0.008081899,-0.014337415,0.060857575,0.0722475,0.09369417,-0.08209629,0.045231245,0.04858935,-0.027841879,0.0616061,0.027764976,0.07446917,-0.0538514,0.07776924,0.10330871,0.095951475,0.017798625,0.043693736,-0.013307475,-0.05852578,0.024956688,0.025740944,0.023223143,-0.048428185,-0.05999286,-0.032135047,0.06038944,0.03804275,-0.01638594,-0.0747128,-0.08964946,0.038130812,-0.0017626277,0.034537386,0.076624796,-0.061900157,0.09023248,-0.06632745,-0.081660435,0.025909485,-0.06816987,0.03911179,0.09393209,0.09076038,0.07806575,-0.06451372,-0.0024141136,-0.09087348,-0.0983033,-0.06572136,-0.07353924,-0.021276716,0.0058981758,-0.014312082,0.053207956,0.081797354,-0.06503432
0.02732217,-0.008532363,0.0599012,-0.025987212,0.09067519,-0.012217728,-0.07721045,-0.09661277,-0.0004023848,0.06965814,0.09851201,-0.06568658,0.040568348,-0.029284352,-0.06249491,0.08112316,0.019112678,-0.0053645256,-0.090159096,0.06119049,0.020697506,0.04680288,-0.0849704,-0.08956978,0.00581251,0.10040623,0.095618784,0.1008558,-0.024359522,-0.008251352,0.06322852,0.0007479478,0.051070675,-0.017819837,0.06687706,-0.03128762,0.07670959,-0.03984061,-0.098356195,-0.067833394,-0.0085893795,-0.059364676,0.08197623,0.01823878,0.013405002,0.08196457,-0.06727527,0.07020814,-0.01775456,-0.07217611,-0.0619521,0.019334428,-0.09470226,-0.06085318,0.07858704,-0.07073891,-0.00081157166,-0.074127294,0.08437033,0.06704483,0.020151462,0.0009181695,0.016385647,-0.022518482
0.048638634,0.013150272,-0.009676696,0.0107956575,0.047627512,-0.07932406,0.016868845,-0.0019701235,-0.024507787,0.06851993,0.002001647,-0.09475726,0.0072825765,0.09717979,-0.065532714,0.07700269,-0.040580336,0.036668755,0.06558006,0.012530617,-0.097957164,-0.058252037,-0.11161202,0.044689447,-0.08439932,0.093238614,0.02337485,-0.064248025,-0.05232291,-0.08674738,-0.062991336,0.0066193976,-0.019430505,-0.093649,0.0731551,-0.06408749,0.05184216,-0.008038768,0.027743928,-0.033597887,0.007149313,0.050567847,0.01024639,-0.0784878,-0.06812634,0.05258779,0.0005838295,-0.067241296,-0.09769603,0.10019354,-0.05425023,-0.010293105,0.021577697,-0.06548015,0.08594161,-0.06376074,-0.030576862,0.039489258,-0.07108137,-0.087303616,0.096383266,-0.01964576,-0.05356538,0.059126113
0.023964984,-0.07072852,-0.056149643,0.061404176,0.0837903,0.008836425,0.019702524,-0.021642627,0.05956992,-0.09180496,-0.10113565,0.10037774,-0.09806706,-0.09412926,-0.06354258,-0.06413777,0.09053257,0.09925571,0.02659553,0.08385901,-0.086196125,-0.05078695,0.018805658,-0.0028493963,0.09457913,-0.008865319,0.021160895,-0.08145368,0.073646866,-0.093748085,0.061549086,0.09351506,-0.025278995,0.08817236,0.043077536,-0.071746424,-0.07299095,0.0011992503,-0.09881179,0.07526439,0.07477125,0.0739486,0.012713678,-0.07464705,0.0853842,-0.0029786178,0.006130824,-0.012843879,0.06700896,-0.01901395,0.10444382,-0.082403,-0.028135227,-0.0660724,-0.08740947,0.040965542,0.07042713,-0.057366166,0.07727306,-0.06059065,0.028169066,0.03835946,0.09585339,0.09091126
0.024741001,-0.0907794,-0.025120053,0.043846518,-0.055769064,0.029562926,-0.07226281,0.0029983253,-0.07137121,0.047016233,0.0806195,-0.039087735,0.0775877,0.0092813615,-0.03570068,-0.050123688,0.012456784,0.04563255,-9.7766344e-05,0.04286781,-0.09242355,0.09400147,0.0058726426,0.06630395,-0.031470437,0.02527108,0.09624411,0.046161655,0.023108343,0.05252404,-0.01747556,0.09105302,0.008479311,0.04111882,-0.04492623,0.091255024,0.09649194,0.02818506,0.055543985,-0.07646667,0.044715546,0.093225114,-0.08421473,0.075911365,-0.10326086,0.07941647,-0.08336396,-0.051043283,-0.092326395,0.09496728,0.06545641,-0.0628901,0.06307522,-0.08205794,-0.08718749,0.06397249,0.044814646,0.028634358,-0.07542111,-0.09562094,-0.09781514,0.0852095,-0.07395186,0.09094648
0.07761759,0.062334254,0.06189344,-0.09618449,0.10181561,0.08293526,-0.00085630314,-0.09073705,0.0837199,0.07108967,-0.024694538,0.07669695,-0.05618432,0.027894616,0.002788957,-0.07862783,-0.01903904,-0.03671172,0.036574475,-0.02429426,-0.0551011,-0.021573294,0.00096197415,-0.073689714,0.08834656,-0.013167929,0.07635633,-0.059352472,-0.06044946,-0.07680833,0.069733895,0.09576901,0.016540041,0.08696507,0.008563236,0.07473077,0.013273081,0.00251398,0.06453069,-0.039270177,-0.05827947,-0.018430652,-0.021461183,0.07667196,0.08071281,-0.023915786,-0.048285507,-0.035608202,-0.0020418128,0.064287156,0.075754255,0.09679094,-0.040534656,-0.09709983,-0.013481948,-0.089616716,0.07512178,-0.08539716,0.09986587,-0.04997135,-0.013117269,-0.032520503,-0.050106708,0.0010314031
0.066776805,0.10030336,-0.02101823,0.0890004,0.104044296,0.025320632,0.03737619,0.06049524,0.03495758,-0.07636204,-0.04470438,0.021160878,-0.03598241,0.012238628,-0.08857621,-0.07552472,0.051407818,0.085311875,-0.038175028,-0.01276165,0.08474644,0.011877866,0.08214537,0.044406846,-0.014020476,0.005166247,-0.09295502,-0.06342888,0.02548288,-0.072219044,-0.0714409,0.0076430193,0.03917838,-0.043594565,-0.0024916534,-0.04137592,-0.013360334,0.06158266,0.004763406,-0.0009343082,-0.09920723,-0.06816596,0.005549229,-0.006818268,-0.10266531,-0.0021252616,-0.037725545,-0.07256779,-0.0883235,-0.07206079,-0.095994584,0.017887186,0.069291,0.017134449,0.06536101,0.0154228695,0.006347211,-0.09181054,0.098020874,-0.012326099,-0.0017629405,-0.000105492465,-0.061919305,-0.08873605
0.07908305,0.071266316,0.025756307,-0.005353867,-0.049278982,0.011436913,0.022700308,0.0006619843,-0.03740872,-0.018669397,0.08723926,0.0083886115,0.091358975,0.05414938,0.09289888,0.00994935,-0.08584936,0.022839416,0.026058715,0.064996526,0.097171925,0.0679737,-0.0968212,0.07074637,-0.0050257845,0.06755187,-0.09762738,0.04261516,0.028632728,0.08413693,0.05800988,-0.099534445,-0.05789029,0.045828532,-0.08994937,0.0074561173,-0.0025159162,0.046851184,0.027666712,-0.037384316,-0.044198338,-0.09832882,0.03284774,0.05119239,0.09140298,-0.065931365,-0.037799973,-0.059867043,0.024941465,-0.03527787,-0.03861261,0.07713542,0.05571502,-0.09784255,0.087028705,-0.09173875,0.039036974,-0.09318555,0.016543021,0.076433584,0.071964666,0.088428855,-0.0105212005,0.0083955405
